TestName,Tool,Pass,ExitCode,Tags,InputBytes,AllowedTimeout,TimeUser,TimeSystem,TimeWall,RamUsageMiB
feof_function,sv_parser,True,0,21.3 uvm-req,448,30,0.003731,0.003731,0.007462,15.223
readmemb_task,sv_parser,True,0,21.4,450,30,0.004478,0.004478,0.008956,15.418
strobe_task,sv_parser,True,0,21.2 uvm-req,461,30,0.0,0.009074,0.009074,15.445
fstrobe_task,sv_parser,True,0,21.3 uvm-req,561,30,0.011995,0.0,0.011995,16.043
file_tasks,sv_parser,True,0,21.3 uvm-req,436,30,0.008134,0.0,0.008134,15.133
display_boh,sv_parser,True,0,21.2 uvm-req,442,30,0.004212,0.004212,0.008424,15.066
fgets_function,sv_parser,True,0,21.3 uvm-req,465,30,0.002971,0.005943,0.008914,15.25
write_boh,sv_parser,True,0,21.2 uvm-req,432,30,0.004168,0.004168,0.008336,14.73
ferror_function,sv_parser,True,0,21.3 uvm-req,520,30,0.007013,0.003506,0.010519,15.523
display_task,sv_parser,True,0,21.2 uvm-req,408,30,0.0,0.007001,0.007001,14.844
file_pos_tasks,sv_parser,True,0,21.3 uvm-req,618,30,0.011756,0.0,0.011756,15.902
fwrite_task,sv_parser,True,0,21.3 uvm-req,472,30,0.0,0.009209,0.009209,15.309
fwrite_boh,sv_parser,True,0,21.3 uvm-req,512,30,0.007149,0.003574,0.010723,15.363
fdisplay_boh,sv_parser,True,0,21.3 uvm-req,522,30,0.0,0.009895,0.009895,15.555
fdisplay_task,sv_parser,True,0,21.3 uvm-req,478,30,0.004809,0.004809,0.009618,15.184
fflush_task,sv_parser,True,0,21.3 uvm-req,438,30,0.004395,0.004395,0.00879,14.984
test_plusargs,sv_parser,True,0,21.6 uvm-req,487,30,0.003615,0.003615,0.00723,15.086
ungetc_function,sv_parser,True,0,21.3 uvm-req,507,30,0.010344,0.0,0.010344,15.645
monitor_task,sv_parser,True,0,21.2 uvm-req,469,30,0.00315,0.006301,0.009451,15.141
readmemh_task,sv_parser,True,0,21.4,450,30,0.007791,0.0,0.007791,15.441
fmonitor_task,sv_parser,True,0,21.3 uvm-req,546,30,0.003492,0.006984,0.010476,15.605
value_plusargs,sv_parser,True,0,21.6 uvm-req,489,30,0.0,0.008758,0.008758,15.551
vcd_dumpports_test,sv_parser,True,0,21.7,654,30,0.010624,0.003541,0.014165,15.801
sscanf_task,sv_parser,True,0,21.3 uvm-req,468,30,0.0,0.00889,0.00889,15.301
fread_task,sv_parser,True,0,21.3 uvm-req,454,30,0.004542,0.004542,0.009084,15.449
